eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
578.53,37.28,1341,0.00463045,0.14807129,0.8006487,-0.010664325,0.19851607,0.8457553088665009,3335,426880,5342.7025813,6830080
583.09,38.98,1313,0.0080839535,0.11987305,0.7225212,-0.0070435004,0.3204968,0.841003492474556,3336,427008,5344.262368600001,6832128
590.54,43.26,1311,0.0070381835,0.12731934,0.7351897,-0.007553786,0.11010229,0.7607946395874023,3337,427136,5345.8245910000005,6834176
589.15,42.97,1402,0.0064942753,0.15478516,0.79875815,-0.008062522,0.15922631,0.8453683257102966,3338,427264,5347.285545600001,6836224
595.08,44.85,1278,0.0057324995,0.16320801,0.827019,-0.01770583,0.095469415,0.6306584477424622,3339,427392,5348.8876522,6838272
592.33,42.37,1398,0.0075509264,0.20227051,0.8250974,-0.0172722,0.064816594,0.7715418487787247,3340,427520,5350.3521676,6840320
593.85,42.62,1214,0.007365152,0.19995117,0.7603038,-0.012762051,0.08248591,0.7559102028608322,3341,427648,5352.0394496,6842368
597.32,43.75,1445,0.0066227065,0.14404297,0.7112192,-0.007590969,0.25050414,0.842203751206398,3342,427776,5353.4569711,6844416
597.74,44.14,1244,0.009204659,0.18774414,0.79023904,-0.017531613,0.07163677,0.7458735704421997,3343,427904,5355.102690600001,6846464
595.27,44.09,1381,0.007920251,0.1940918,0.8262913,-0.01854943,0.05078895,0.731512188911438,3344,428032,5356.585338700001,6848512
594.56,42.86,1231,0.008945301,0.1739502,0.79182494,-0.016568627,0.047482044,0.7536130398511887,3345,428160,5358.2491755,6850560
597.1,43.46,1307,0.0070626587,0.19714355,0.8223702,-0.018232075,0.035734046,0.8479045182466507,3346,428288,5359.8157954,6852608
594.3,43.43,1338,0.0075144265,0.20031738,0.825991,-0.015611532,0.047345288,0.8494132608175278,3347,428416,5361.3463168,6854656
597.94,43.76,1391,0.009625142,0.1842041,0.82738626,-0.011412931,0.04953698,0.8301258981227875,3348,428544,5362.8190136,6856704
596.58,41.31,1331,0.009258283,0.15905762,0.7673208,-0.0021259487,0.22791246,0.8056694716215134,3349,428672,5364.3580764,6858752
602.25,43.78,1157,0.009780109,0.19311523,0.7767862,-0.010891234,0.08842,0.7372143566608429,3350,428800,5366.1270798000005,6860800
601.08,44.0,1320,0.009992032,0.20129395,0.7884181,-0.0160931,0.05801838,0.7648259103298187,3351,428928,5367.6782079,6862848
603.01,43.11,1332,0.011931757,0.19616699,0.7899935,-0.015739102,0.051901855,0.7905474454164505,3352,429056,5369.2160167,6864896
600.34,41.51,1193,0.0071700355,0.20983887,0.8073376,-0.009355055,0.14702472,0.6589902639389038,3353,429184,5370.9327494,6866944
605.38,42.21,1277,0.012632292,0.16918945,0.7627911,-0.013309363,0.06886923,0.8858504295349121,3354,429312,5372.5366928,6868992
603.12,42.17,1181,0.008290891,0.19177246,0.8089478,-0.018053863,0.061261985,0.7717458307743073,3355,429440,5374.2702286,6871040
600.4,40.29,1146,0.009561347,0.19824219,0.77350175,-0.017625356,0.0742463,0.6969446837902069,3356,429568,5376.0574508,6873088
599.53,39.09,1109,0.0064847465,0.15893555,0.7497216,-0.009078571,0.1998766,0.8081674128770828,3357,429696,5377.9045959000005,6875136
599.36,40.93,1246,0.00694793,0.1315918,0.6999759,-0.0064794123,0.27224496,0.8240414261817932,3358,429824,5379.5476414,6877184
602.69,42.47,1335,0.0070160525,0.19677734,0.8016292,-0.017366674,0.058538396,0.7394854426383972,3359,429952,5381.0810852,6879232
597.77,40.97,1387,0.009564265,0.20288086,0.7953366,-0.01815523,0.026020862,0.8914598599076271,3360,430080,5382.5576169000005,6881280
596.76,40.86,1389,0.008859638,0.20361328,0.7845792,-0.018271804,0.03307527,0.8368257135152817,3361,430208,5384.0315224000005,6883328
599.87,40.98,1370,0.006438586,0.15673828,0.7718293,-0.0077465354,0.22318687,0.7656860947608948,3362,430336,5385.526612000001,6885376
603.06,42.23,1415,0.0068800836,0.20019531,0.8203637,-0.018379036,0.0357438,0.8386543989181519,3363,430464,5386.9740767,6887424
607.68,41.32,1285,0.006445922,0.19104004,0.8230862,-0.0155337425,0.055658232,0.790155440568924,3364,430592,5388.5675094,6889472
604.04,37.97,1293,0.0056764176,0.15161133,0.77696973,-0.008389934,0.2130867,0.7141831517219543,3365,430720,5390.1515538,6891520
604.04,37.97,1482,0.0093842475,0.1541748,0.72267044,-0.007535329,0.11275787,0.8170949071645737,3366,430848,5391.533268300001,6893568
604.25,40.16,1328,0.010840169,0.17053223,0.831821,-0.012369543,0.076573126,0.6306242644786835,3367,430976,5393.0757306000005,6895616
605.4,38.92,1286,0.012485241,0.21655273,0.83937967,-0.018560596,0.028715366,0.8699365556240082,3368,431104,5394.6683561,6897664
605.4,38.92,1429,0.009273142,0.21020508,0.83127743,-0.018735379,0.027755374,0.8740591108798981,3369,431232,5396.1019198,6899712
610.9,39.29,1274,0.009317951,0.2244873,0.8405617,-0.01913721,0.041717354,0.8280009478330612,3370,431360,5397.7094291,6901760
611.2,38.19,1155,0.007693192,0.21081543,0.841344,-0.017671697,0.051337793,0.775838240981102,3371,431488,5399.4819527,6903808
609.55,37.04,1176,0.007280397,0.21081543,0.84980685,-0.016074931,0.04382258,0.7812460213899612,3372,431616,5401.223340500001,6905856
609.19,36.6,1300,0.007520358,0.19885254,0.8360799,-0.018204365,0.056474064,0.759739875793457,3373,431744,5402.799127,6907904
604.28,36.28,1233,0.0071110623,0.1665039,0.80865216,-0.014763962,0.091009974,0.711656928062439,3374,431872,5404.4603533,6909952
606.59,36.06,1394,0.004582731,0.12561035,0.7512224,-0.007803853,0.25264972,0.8290240168571472,3375,432000,5405.929283400001,6912000
608.91,39.33,1347,0.011858047,0.14440918,0.8518619,-0.009334482,0.16131565,0.5156055390834808,3376,432128,5407.4497422,6914048
606.42,39.44,1396,0.008274176,0.19946289,0.88495857,-0.01929862,0.04487223,0.7638826221227646,3377,432256,5408.9166473000005,6916096
602.75,39.6,1408,0.0067908657,0.18029785,0.8675389,-0.01613516,0.04487438,0.763772577047348,3378,432384,5410.3712783,6918144
603.44,37.13,1325,0.0047635324,0.15148926,0.84131867,-0.008061778,0.1809992,0.7935922145843506,3379,432512,5411.9169876000005,6920192
600.89,37.7,1369,0.0064546843,0.13171387,0.8261186,-0.009643288,0.17569554,0.7749083042144775,3380,432640,5413.412510900001,6922240
599.25,37.86,1344,0.011057029,0.15161133,0.81397986,-0.011787398,0.10136069,0.8194222301244736,3381,432768,5414.935762200001,6924288
599.15,39.89,1318,0.0061750403,0.15979004,0.8666814,-0.014551345,0.07853105,0.7286931276321411,3382,432896,5416.489615,6926336
597.25,39.46,1353,0.0056939805,0.18249512,0.8937484,-0.00899606,0.14072293,0.49628353118896484,3383,433024,5418.0034744,6928384
601.77,39.16,1095,0.007270528,0.1953125,0.8729686,-0.017694421,0.03336453,0.8692148774862289,3384,433152,5419.873684,6930432
601.77,39.16,1446,0.006978532,0.19873047,0.83653724,-0.017955886,0.05066398,0.7986163645982742,3385,433280,5421.2903269,6932480
600.45,39.25,1232,0.0077452622,0.20495605,0.79481846,-0.016069941,0.05113211,0.8024874478578568,3386,433408,5422.9522477,6934528
603.23,37.98,1173,0.005727333,0.15966797,0.7790703,-0.0070249536,0.1887858,0.7577337026596069,3387,433536,5424.6981619,6936576
602.61,36.39,1167,0.009289857,0.15808105,0.7701749,-0.014353027,0.045091607,0.9147313684225082,3388,433664,5426.4523963,6938624
612.54,37.38,1282,0.010912569,0.18920898,0.74124926,-0.0135935955,0.049152702,0.8376863151788712,3389,433792,5428.049522400001,6940672
614.18,37.98,1354,0.0067173704,0.18884277,0.819868,-0.017241482,0.051039148,0.7641914486885071,3390,433920,5429.5620054,6942720
615.14,38.23,1325,0.0067291916,0.19848633,0.8506854,-0.017522864,0.03538338,0.8289047479629517,3391,434048,5431.108067300001,6944768
613.34,36.98,1382,0.009227084,0.22937012,0.8507457,-0.020042224,0.044495318,0.7979751825332642,3392,434176,5432.5901026,6946816
606.67,36.57,1306,0.010536075,0.1673584,0.7623619,-0.014972471,0.051917076,0.7787577658891678,3393,434304,5434.1582942000005,6948864
609.96,36.63,1372,0.00655971,0.16589355,0.73104835,-0.012011215,0.09109621,0.6819176077842712,3394,434432,5435.6511872,6950912
612.18,36.93,1443,0.0089761205,0.20568848,0.7336117,-0.0166578,0.046229616,0.810591995716095,3395,434560,5437.0700757,6952960
609.05,34.36,1373,0.0091587985,0.18530273,0.7487362,-0.019168153,0.030769054,0.8898569643497467,3396,434688,5438.5612388,6955008
605.27,34.21,1394,0.009097244,0.19213867,0.7256405,-0.017219197,0.05338453,0.801494374871254,3397,434816,5440.0303030000005,6957056
603.95,34.66,1356,0.005982681,0.12817383,0.68970156,-0.006203298,0.4933322,0.5799337029457092,3398,434944,5441.5400758000005,6959104
612.03,36.48,1341,0.009546623,0.19458008,0.78682095,-0.016107135,0.0403733,0.8487196713685989,3399,435072,5443.067007500001,6961152
610.07,36.46,1405,0.008331856,0.18469238,0.77666926,-0.0088127395,0.19439396,0.8307622671127319,3400,435200,5444.5244248,6963200
609.48,37.53,1345,0.0078031374,0.21130371,0.8080222,-0.018604277,0.044242628,0.8600841164588928,3401,435328,5446.0473656,6965248
606.29,37.56,1400,0.0068766354,0.13916016,0.70715845,-0.0072749555,0.4127896,0.7842110842466354,3402,435456,5447.5101872000005,6967296
611.74,41.38,1298,0.011956891,0.18652344,0.7893716,-0.010060888,0.0970725,0.7513120770454407,3403,435584,5449.0875225,6969344
607.41,41.25,1370,0.00897303,0.1809082,0.83576214,-0.01620993,0.06560735,0.7482025325298309,3404,435712,5450.5820814,6971392
604.71,39.66,1359,0.006162282,0.1842041,0.83054566,-0.017058132,0.057359982,0.68801549077034,3405,435840,5452.0889054,6973440
609.74,37.59,1333,0.007857025,0.2064209,0.8330424,-0.02015854,0.042299002,0.8123521953821182,3406,435968,5453.6253118,6975488
610.51,37.26,1260,0.007691568,0.19226074,0.8556085,-0.015620489,0.05677055,0.7920659184455872,3407,436096,5455.2500723,6977536
596.79,35.61,1194,0.0061820103,0.17590332,0.89378697,-0.009502536,0.31091407,0.7412422597408295,3408,436224,5456.964634,6979584
594.32,36.81,1337,0.017057404,0.11682129,0.82990324,-0.0003800745,0.24125075,0.8158849477767944,3409,436352,5458.4965081,6981632
593.25,37.27,1306,0.0054413914,0.17211914,0.88575464,-0.012984963,0.084763944,0.6138788163661957,3410,436480,5460.0643104,6983680
581.58,35.25,1239,0.006924821,0.19226074,0.95675206,-0.01837148,0.0734724,0.7617257535457611,3411,436608,5461.7164285,6985728
567.79,33.9,1143,0.0051058624,0.14709473,0.8638418,-0.007842505,0.19242546,0.7144317030906677,3412,436736,5463.5079639000005,6987776
566.64,35.14,1405,0.007885903,0.2088623,0.77670074,-0.017909352,0.03670973,0.9441948644816875,3413,436864,5464.9653439,6989824
562.69,35.0,1448,0.015903698,0.17346191,0.7303625,-0.006586149,0.18778649,0.8178844004869461,3414,436992,5466.3801088,6991872
559.96,34.55,1238,0.012548337,0.20349121,0.75269,-0.018032942,0.03355606,0.8434975743293762,3415,437120,5468.033488,6993920
554.19,34.18,1428,0.010456711,0.20983887,0.75141263,-0.018147713,0.034384795,0.8432597666978836,3416,437248,5469.4679185,6995968
555.75,33.6,1371,0.010096125,0.1776123,0.76608205,-0.0144128725,0.043330733,0.8397078812122345,3417,437376,5470.9614184,6998016
558.22,35.5,1276,0.0087045645,0.17419434,0.7287443,-0.006276114,0.16486312,0.8315717130899429,3418,437504,5472.566704700001,7000064
561.32,35.77,1369,0.009901603,0.19494629,0.7540369,-0.016594507,0.049486477,0.8133507519960403,3419,437632,5474.0629956,7002112
563.4,35.85,1404,0.00629717,0.14794922,0.73620576,-0.007995893,0.16899294,0.8314551115036011,3420,437760,5475.5217571,7004160
564.64,36.86,1304,0.010390602,0.20715332,0.764113,-0.018780874,0.03772421,0.8819315060973167,3421,437888,5477.091961900001,7006208
563.29,36.48,1433,0.007187911,0.18798828,0.7373716,-0.015678745,0.06063329,0.8048386424779892,3422,438016,5478.5207673,7008256
569.52,36.69,1314,0.0066145905,0.1171875,0.71615845,-0.004956199,0.37038282,0.7424064874649048,3423,438144,5480.0791705,7010304
568.31,39.17,1346,0.0049706367,0.11669922,0.75114805,-0.009062612,0.11297314,0.885498121380806,3424,438272,5481.6004138,7012352
568.21,40.22,1514,0.15505643,0.16235352,0.8198261,-0.015799506,0.043040324,0.7602377831935883,3425,438400,5482.952985100001,7014400
558.45,37.76,1145,0.009624063,0.20239258,0.78990203,-0.015890636,0.029117169,0.8843488097190857,3426,438528,5484.7420597,7016448
556.96,37.62,1180,0.008863897,0.18859863,0.7841422,-0.016569914,0.04556949,0.8542492836713791,3427,438656,5486.47681,7018496
561.71,37.97,1147,0.010130096,0.14978027,0.7400131,-0.007143968,0.13151787,0.8880472779273987,3428,438784,5488.2614333,7020544
563.66,36.79,1300,0.006665237,0.16540527,0.83249986,-0.01737027,0.04798488,0.8461275398731232,3429,438912,5489.836206100001,7022592
559.67,34.3,1245,0.010548675,0.20373535,0.7672544,-0.011460394,0.08084062,0.7886367440223694,3430,439040,5491.4803463,7024640
559.36,34.2,1439,0.0055645267,0.14782715,0.6970618,-0.0072433664,0.35831535,0.8090413361787796,3431,439168,5492.9031328,7026688
563.62,37.53,1334,0.0040066848,0.11608887,0.65738827,-0.0071541835,0.2968547,0.8617425709962845,3432,439296,5494.4379776000005,7028736
561.38,40.11,1305,0.039148957,0.14501953,0.78505665,-0.010506293,0.0785616,0.7674644738435745,3433,439424,5496.0067074,7030784
564.35,40.14,1414,0.010292847,0.171875,0.68998545,-0.007880975,0.3495895,0.7044490575790405,3434,439552,5497.4550593,7032832
569.43,42.4,1353,0.0061720447,0.10180664,0.65293527,-0.0025091192,0.42913163,0.8519606739282608,3435,439680,5498.9685961000005,7034880
582.37,47.34,1362,0.009329199,0.19580078,0.7659126,-0.015432934,0.07028516,0.7945533096790314,3436,439808,5500.4721879,7036928
591.22,48.04,1327,0.00871467,0.15734863,0.7123295,-0.007660294,0.24235839,0.8071686029434204,3437,439936,5502.0150291,7038976
594.52,46.02,1266,0.00927555,0.2006836,0.8115673,-0.015722666,0.06031479,0.8029727637767792,3438,440064,5503.6329623,7041024
597.28,46.22,1441,0.009178701,0.20202637,0.7922063,-0.017669296,0.05438835,0.7992580085992813,3439,440192,5505.0540191,7043072
601.04,47.19,1360,0.008492996,0.17578125,0.7541445,-0.006116134,0.4335973,0.606009840965271,3440,440320,5506.5597849000005,7045120
603.51,47.29,1452,0.0075309165,0.14086914,0.7400711,-0.007904223,0.33222827,0.8414037078619003,3441,440448,5507.9706029,7047168
616.48,51.3,1200,0.007752125,0.13464355,0.75204134,-0.008305814,0.22132944,0.8019288331270218,3442,440576,5509.676628900001,7049216
623.45,52.52,1142,0.0067682713,0.12792969,0.75892085,-0.00944989,0.24396528,0.805769607424736,3443,440704,5511.4703655,7051264
626.75,52.78,1224,0.28979883,0.12670898,0.75221145,0.005059894,0.09381705,0.9189813733100891,3444,440832,5513.1437676000005,7053312
626.85,53.92,1196,0.007631869,0.17199707,0.7280003,-0.011614508,0.10997504,0.8834508806467056,3445,440960,5514.855301500001,7055360
628.25,54.16,1193,0.010958042,0.17456055,0.7367141,-0.01103835,0.07565731,0.8420412093400955,3446,441088,5516.5715206,7057408
628.33,54.66,1304,0.009084968,0.15600586,0.6528588,-0.0066228635,0.3544654,0.8465706706047058,3447,441216,5518.1413641,7059456
619.56,56.37,1170,0.0056470693,0.13952637,0.6985207,-0.008735369,0.14132172,0.8349713832139969,3448,441344,5519.8912244,7061504
621.83,57.85,1231,0.0062828436,0.1628418,0.72519565,-0.008639989,0.18612078,0.8643222004175186,3449,441472,5521.554513800001,7063552
622.75,57.7,1182,0.21269509,0.14099121,0.7896506,-0.006239765,0.21399581,0.8607810288667679,3450,441600,5523.287370200001,7065600
625.33,59.44,1338,0.007846268,0.17114258,0.7845416,-0.010992562,0.083355494,0.6650672852993011,3451,441728,5524.8181591,7067648
622.41,60.62,1372,0.008393613,0.17810059,0.7784368,-0.008820201,0.121307276,0.9001275822520256,3452,441856,5526.3104195000005,7069696
624.1,60.73,1464,0.009554929,0.22094727,0.8091633,-0.016193002,0.05985529,0.8534182161092758,3453,441984,5527.708817000001,7071744
634.94,60.82,1159,0.008483915,0.22277832,0.8474976,0.0009768901,0.14998098,0.8956025689840317,3454,442112,5529.4760876,7073792
634.17,58.7,1246,0.0074539986,0.19580078,0.8286449,-0.010043973,0.0777887,0.8644149154424667,3455,442240,5531.119685000001,7075840
631.94,58.74,1391,0.007753687,0.1739502,0.8019828,-0.014372587,0.07233386,0.6884550452232361,3456,442368,5532.5921251,7077888
633.85,58.84,1390,0.015218687,0.16101074,0.7859424,-0.0034590394,0.14974974,0.8406375050544739,3457,442496,5534.0651667,7079936
636.47,59.86,1371,0.009152877,0.21508789,0.7772293,-0.018478261,0.03927058,0.8778190836310387,3458,442624,5535.5592747,7081984
638.01,58.99,1277,0.006504773,0.17346191,0.82969177,-0.010887002,0.14555883,0.601349413394928,3459,442752,5537.1627205,7084032
639.7,59.08,1460,0.0059892824,0.17297363,0.8257212,-0.010929942,0.12835923,0.8722041100263596,3460,442880,5538.5650892,7086080
639.05,60.6,1344,0.0095117055,0.20581055,0.821825,-0.014496971,0.07240105,0.8290754109621048,3461,443008,5540.0889309,7088128
641.53,58.9,1403,0.0033468937,0.119140625,0.8545458,-0.0033397176,0.375108,0.3159187436103821,3462,443136,5541.5482211,7090176
632.33,55.93,1316,0.00717309,0.20092773,0.86342907,-0.017687544,0.049774956,0.7400331199169159,3463,443264,5543.104605500001,7092224
627.02,53.34,1389,0.009111971,0.19714355,0.8319787,-0.017825155,0.02882877,0.8266536444425583,3464,443392,5544.5793386000005,7094272
624.07,51.32,1474,0.010362387,0.20739746,0.76330364,-0.016123418,0.028142784,0.8570932745933533,3465,443520,5545.968723,7096320
621.79,48.71,1366,0.008765311,0.20617676,0.78040344,-0.01606223,0.07245232,0.7809283137321472,3466,443648,5547.4676657,7098368
617.49,46.79,1251,0.008588579,0.20288086,0.8764366,-0.017926779,0.053632148,0.8377217203378677,3467,443776,5549.105085300001,7100416
616.98,46.76,1409,0.007723526,0.19555664,0.7992079,-0.016590057,0.04151282,0.8843879774212837,3468,443904,5550.558185100001,7102464
616.93,45.99,1393,0.009012284,0.2109375,0.8328275,-0.016460001,0.034864556,0.8850815370678902,3469,444032,5552.0281703,7104512
